image_url,page_title,timestamp
https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Ato_pela_liberdade_de_Lula_em_Montes_Claros_-_MG.jpg/250px-Ato_pela_liberdade_de_Lula_em_Montes_Claros_-_MG.jpg,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Magnifying_glass_01.svg/20px-Magnifying_glass_01.svg.png,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Elei%C3%A7%C3%B5es_presidenciais_brasileiras_de_2018_-_Chapa_%22O_Povo_Feliz_de_Novo%22%2C_com_Lula%2C_Haddad_e_Manuela.jpg/250px-Elei%C3%A7%C3%B5es_presidenciais_brasileiras_de_2018_-_Chapa_%22O_Povo_Feliz_de_Novo%22%2C_com_Lula%2C_Haddad_e_Manuela.jpg,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Lula_e_Alckmin_apetam_as_m%C3%A3os_%28cropped%29_2.jpg/250px-Lula_e_Alckmin_apetam_as_m%C3%A3os_%28cropped%29_2.jpg,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Magnifying_glass_01.svg/20px-Magnifying_glass_01.svg.png,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/01.01.2023_-_Solenidade_de_Posse_Presidencial_39%C2%BA_presidente_do_Brasil_%2852622107703%29.jpg/250px-01.01.2023_-_Solenidade_de_Posse_Presidencial_39%C2%BA_presidente_do_Brasil_%2852622107703%29.jpg,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/06.11.2025_%E2%80%93_Abertura_da_Sess%C3%A3o_Plen%C3%A1ria_da_C%C3%BApula_do_Clima_%2854906491375%29.jpg/250px-06.11.2025_%E2%80%93_Abertura_da_Sess%C3%A3o_Plen%C3%A1ria_da_C%C3%BApula_do_Clima_%2854906491375%29.jpg,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/President_Lula_and_Marisa_2007.jpg/250px-President_Lula_and_Marisa_2007.jpg,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/18.05.2022-Casamento_de_Janja_e_Lula_-_O_Amor_Venceu_-_52085185795.jpg/250px-18.05.2022-Casamento_de_Janja_e_Lula_-_O_Amor_Venceu_-_52085185795.jpg,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Lula_and_Dilma_2011.jpg/250px-Lula_and_Dilma_2011.jpg,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/03.11.2023_-_Atividade_fisica_no_Pal%C3%A1cio_da_Alvorada._-_53306885591.jpg/120px-03.11.2023_-_Atividade_fisica_no_Pal%C3%A1cio_da_Alvorada._-_53306885591.jpg,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Magnifying_glass_01.svg/20px-Magnifying_glass_01.svg.png,Luiz Inácio Lula da Silva,2026-04-03 23:06:38.650070
